Transaction UUID,Status,OriginalAmount,OriginalCurrency,MerchantAmount,MerchantCurrency,CustomerAmount,CustomerCurrency,Operation,Reference No,Create Date
3628771-1458735628-125,APPROVED,130,EUR,130,EUR,17268.22,JPY,DIRECT,133-1458735627-6035-4471609,23/03/2016 12:20
3628807-1458735665-203,APPROVED,31,EUR,31,EUR,105.31,TRY,3DAUTH,1477-1458735625-2349-4666890,23/03/2016 12:21
3628762-1458735620-82,APPROVED,6.95,GBP,8.31,EUR,6.95,GBP,DIRECT,312132265,23/03/2016 12:20
3628825-1458735673-216,DECLINED,280.42,EUR,280.42,EUR,952.59,TRY,3DAUTH,10-1458735619-3155-4666886,23/03/2016 12:21
3628915-1458735769-96,APPROVED,1720,TRY,1720,TRY,1720,TRY,3DAUTH,WC-10591,23/03/2016 12:22
3628852-1458735712-289,APPROVED,500,TRY,500,TRY,500,TRY,3DAUTH,155900602,23/03/2016 12:21
3628810-1458735665-107,APPROVED,15.49,EUR,15.49,EUR,52.62,TRY,3DAUTH,578-1458735616-6262-4293538,23/03/2016 12:21
3628747-1458735616-82,APPROVED,6.95,GBP,8.31,EUR,6.95,GBP,DIRECT,312132261,23/03/2016 12:20
3628741-1458735607-82,DECLINED,6.95,GBP,8.31,EUR,6.95,GBP,DIRECT,312132245,23/03/2016 12:20
3628777-1458735631-56,APPROVED,8,EUR,8,EUR,27.18,TRY,3DAUTH,30099176,23/03/2016 12:20
3628735-1458735604-125,DECLINED,150,EUR,150,EUR,19924.87,JPY,DIRECT,133-1458735603-8052-4471609,23/03/2016 12:20
3628729-1458735588-199,APPROVED,32.59,EUR,32.59,EUR,323.98,NOK,DIRECT,424-1458735588-4246-1708575,23/03/2016 12:19
3628744-1458735608-56,APPROVED,8,EUR,8,EUR,27.18,TRY,3DAUTH,30099170,23/03/2016 12:20
3628720-1458735583-125,DECLINED,150,EUR,150,EUR,19924.87,JPY,DIRECT,133-1458735582-7475-4471609,23/03/2016 12:19
3628714-1458735573-289,WAITING,500,TRY,500,TRY,500,TRY,3D,155900532,23/03/2016 12:19
3628711-1458735573-199,APPROVED,21.73,EUR,21.73,EUR,216.02,NOK,DIRECT,420-1458735572-9659-3893992,23/03/2016 12:19
3628768-1458735626-264,DECLINED,100,TRY,31.14,EUR,105.5,TRY,3DAUTH,49592915,23/03/2016 12:20
3628837-1458735689-289,APPROVED,300,TRY,300,TRY,300,TRY,3DAUTH,155900522,23/03/2016 12:21
3628702-1458735569-289,WAITING,300,TRY,300,TRY,300,TRY,3D,155900512,23/03/2016 12:19
3628732-1458735594-216,APPROVED,18.07,EUR,18.07,EUR,61.39,TRY,3DAUTH,10-1458735565-8777-68192,23/03/2016 12:19
3628690-1458735553-119,DECLINED,25,EUR,25,EUR,248.53,NOK,DIRECT,5-1458735552-9385-37041,23/03/2016 12:19
3628687-1458735552-238,APPROVED,1.37,EUR,1.37,EUR,2.12,CAD,DIRECT,1191-1458735551-8579-4666878,23/03/2016 12:19
3628684-1458735551-56,DECLINED,8,EUR,8,EUR,27.18,TRY,3DAUTH,30099158,23/03/2016 12:19
3628678-1458735543-224,APPROVED,81.71,EUR,81.71,EUR,10853.74,JPY,DIRECT,12-1458735543-0467-1321791,23/03/2016 12:19
3628696-1458735561-101,APPROVED,43.33,EUR,43.33,EUR,147.2,TRY,3DAUTH,232-1458735529-8021-4488794,23/03/2016 12:19
3628672-1458735530-119,APPROVED,25,EUR,25,EUR,25,EUR,DIRECT,93-1458735529-5169-3977854,23/03/2016 12:18
3628693-1458735559-150,APPROVED,12.42,EUR,12.42,EUR,42.2,TRY,3DAUTH,620-1458735526-909-1435278,23/03/2016 12:19
3628717-1458735574-203,APPROVED,46.5,EUR,46.5,EUR,157.97,TRY,3DAUTH,1477-1458735522-7996-4666874,23/03/2016 12:19
3628663-1458735520-199,DECLINED,20.64,EUR,20.64,EUR,205.19,NOK,DIRECT,424-1458735520-1151-1819779,23/03/2016 12:18
3628660-1458735515-126,APPROVED,20.5,EUR,20.5,EUR,203.8,NOK,DIRECT,48-1458735514-7872-4534082,23/03/2016 12:18
3628657-1458735515-224,APPROVED,54.71,EUR,54.71,EUR,7267.27,JPY,DIRECT,12-1458735511-7045-4666870,23/03/2016 12:18
3628726-1458735586-289,WAITING,300,TRY,300,TRY,300,TRY,3DAUTH,155900382,23/03/2016 12:19
3628645-1458735493-216,WAITING,10.9,EUR,10.9,EUR,37.03,TRY,3D,10-1458735492-9474-4651291,23/03/2016 12:18
3628642-1458735474-241,DECLINED,13.93,EUR,13.93,EUR,11.61,GBP,DIRECT,1349-1458735469-8903-4666866,23/03/2016 12:17
3628654-1458735503-61,APPROVED,20,EUR,20,EUR,198.83,NOK,3DAUTH,30099145,23/03/2016 12:18
3628648-1458735496-216,APPROVED,10.9,EUR,10.9,EUR,37.03,TRY,3DAUTH,10-1458735463-108-4008565,23/03/2016 12:18
3628627-1458735457-126,APPROVED,10.25,EUR,10.25,EUR,101.9,NOK,DIRECT,48-1458735457-439-1644969,23/03/2016 12:17
3628624-1458735454-145,DECLINED,51.26,EUR,51.26,EUR,79.16,CAD,3DAUTH,73-1458735441-7908-4440571,23/03/2016 12:17
3628609-1458735441-119,APPROVED,25,EUR,25,EUR,248.53,NOK,DIRECT,5-1458735440-9889-20017,23/03/2016 12:17
3628618-1458735450-212,DECLINED,15,EUR,15,EUR,12.5,GBP,3DAUTH,888-1458735436-8097-4666742,23/03/2016 12:17
3628597-1458735435-119,APPROVED,50,EUR,50,EUR,497.06,NOK,DIRECT,5-1458735435-5488-1721661,23/03/2016 12:17
3628594-1458735432-145,APPROVED,84.75,EUR,84.75,EUR,842.51,NOK,DIRECT,73-1458735431-9835-116312,23/03/2016 12:17
3628603-1458735440-145,DECLINED,27.34,EUR,27.34,EUR,42.22,CAD,3DAUTH,73-1458735427-7522-3957595,23/03/2016 12:17
3628588-1458735422-82,APPROVED,11.95,GBP,14.31,EUR,11.95,GBP,DIRECT,312132025,23/03/2016 12:17
3628585-1458735422-171,APPROVED,50,EUR,50,EUR,497.06,NOK,DIRECT,34-1458735421-4895-60580,23/03/2016 12:17
3628621-1458735453-102,APPROVED,23.25,EUR,23.25,EUR,78.99,TRY,3DAUTH,743-1458735415-1012-4499843,23/03/2016 12:17
3628573-1458735409-200,APPROVED,273.99,EUR,273.99,EUR,2723.75,NOK,STORED,59-1458735408-5964-2118546,23/03/2016 12:16
3628570-1458735408-289,WAITING,500,TRY,500,TRY,500,TRY,3D,155900172,23/03/2016 12:16
3628567-1458735406-98,APPROVED,49,EUR,49,EUR,49,EUR,REFUND,1399-1458735405-1192-4555376,23/03/2016 12:16
3628576-1458735410-145,DECLINED,51.26,EUR,51.26,EUR,79.16,CAD,3DAUTH,73-1458735401-0802-4440571,23/03/2016 12:16
3628558-1458735380-119,DECLINED,25,EUR,25,EUR,248.53,NOK,DIRECT,5-1458735379-8523-1235547,23/03/2016 12:16
3628555-1458735375-187,APPROVED,126.94,EUR,126.94,EUR,1261.92,NOK,DIRECT,346-1458735374-8799-4443931,23/03/2016 12:16
3628549-1458735368-289,WAITING,300,TRY,300,TRY,300,TRY,3D,155900092,23/03/2016 12:16
3628579-1458735414-237,APPROVED,1,EUR,1,EUR,1,EUR,3DAUTH,1691-1458735365-3111-4666858,23/03/2016 12:16
3628543-1458735358-199,DECLINED,108.64,EUR,108.64,EUR,1080,NOK,DIRECT,419-1458735357-8063-2580741,23/03/2016 12:15
3628552-1458735368-132,APPROVED,80,EUR,80,EUR,778.79,SEK,3DAUTH,1197-1458735355-0914-3887215,23/03/2016 12:16
3628537-1458735351-82,APPROVED,6.95,GBP,8.32,EUR,6.95,GBP,DIRECT,312131909,23/03/2016 12:15
3628636-1458735469-102,APPROVED,12.4,EUR,12.4,EUR,42.13,TRY,3DAUTH,743-1458735349-6404-4572461,23/03/2016 12:17
3628561-1458735382-119,APPROVED,50,EUR,50,EUR,497.06,NOK,3DAUTH,2-1458735335-1918-4664110,23/03/2016 12:16
3628606-1458735440-56,APPROVED,144.15,EUR,144.15,EUR,489.68,TRY,3DAUTH,30099117,23/03/2016 12:17
3628615-1458735443-289,APPROVED,420,TRY,420,TRY,420,TRY,3DAUTH,155900042,23/03/2016 12:17
3628528-1458735340-145,DECLINED,41,EUR,41,EUR,63.31,CAD,3DAUTH,73-1458735328-0141-4440571,23/03/2016 12:15
3628504-1458735318-200,APPROVED,219.2,EUR,219.2,EUR,2179.08,NOK,STORED,59-1458735318-1571-4277233,23/03/2016 12:15
3628498-1458735317-126,APPROVED,10.25,EUR,10.25,EUR,101.9,NOK,DIRECT,51-1458735317-3309-1548099,23/03/2016 12:15
3628990-1458735863-63,APPROVED,200,TRY,200,TRY,200,TRY,3DAUTH,DP1069393,23/03/2016 12:24
3628492-1458735313-187,APPROVED,264.47,EUR,264.47,EUR,2629.12,NOK,DIRECT,346-1458735312-4152-1273137,23/03/2016 12:15
3628489-1458735312-224,APPROVED,9.12,EUR,9.12,EUR,1211.44,JPY,DIRECT,12-1458735311-8119-3427097,23/03/2016 12:15
3628519-1458735333-203,APPROVED,46.5,EUR,46.5,EUR,157.97,TRY,3DAUTH,1477-1458735310-0655-4666854,23/03/2016 12:15
3628483-1458735309-261,APPROVED,213.96,EUR,213.96,EUR,2126.99,NOK,DIRECT,32-1458735309-34-42127,23/03/2016 12:15
3628525-1458735335-216,APPROVED,31.15,EUR,31.15,EUR,105.82,TRY,3DAUTH,10-1458735306-2947-1316247,23/03/2016 12:15
3628531-1458735344-216,APPROVED,10.9,EUR,10.9,EUR,37.03,TRY,3DAUTH,10-1458735305-6126-4666850,23/03/2016 12:15
3628468-1458735294-199,APPROVED,1059.91,EUR,1059.91,EUR,10550.94,NOK,DIRECT,424-1458735293-312-1412838,23/03/2016 12:14
3628501-1458735318-124,APPROVED,123,EUR,123,EUR,1224.42,NOK,3DAUTH,1135-1458735292-7241-4626467,23/03/2016 12:15
3628507-1458735320-56,APPROVED,64.06,EUR,64.06,EUR,217.59,TRY,3DAUTH,30099098,23/03/2016 12:15
3628471-1458735297-145,DECLINED,51.26,EUR,51.26,EUR,79.11,CAD,3DAUTH,73-1458735288-7135-4440571,23/03/2016 12:14
3628456-1458735288-199,DECLINED,10.86,EUR,10.86,EUR,108.11,NOK,DIRECT,419-1458735285-8411-3391898,23/03/2016 12:14
3628447-1458735277-199,DECLINED,57.69,EUR,57.69,EUR,574.28,NOK,DIRECT,419-1458735277-4859-505083,23/03/2016 12:14
3628633-1458735466-237,DECLINED,1,EUR,1,EUR,1,EUR,3DAUTH,1691-1458735269-9753-4666846,23/03/2016 12:17
3628435-1458735264-119,APPROVED,100,EUR,100,EUR,995.46,NOK,DIRECT,5-1458735264-2143-220941,23/03/2016 12:14
3628432-1458735262-82,DECLINED,9.95,GBP,11.91,EUR,9.95,GBP,DIRECT,312131781,23/03/2016 12:14
3628429-1458735262-216,WAITING,10.9,EUR,10.9,EUR,37.03,TRY,3D,10-1458735261-9961-4386304,23/03/2016 12:14
3628441-1458735273-216,DECLINED,115.25,EUR,115.25,EUR,391.46,TRY,3DAUTH,10-1458735258-7236-4622503,23/03/2016 12:14
3628423-1458735253-82,DECLINED,11.95,GBP,14.31,EUR,11.95,GBP,DIRECT,312131769,23/03/2016 12:14
3628450-1458735282-56,APPROVED,8,EUR,8,EUR,27.18,TRY,3DAUTH,30099089,23/03/2016 12:14
3628453-1458735282-264,APPROVED,20,TRY,6.22,EUR,21.1,TRY,3DAUTH,49591849,23/03/2016 12:14
3628417-1458735251-145,DECLINED,51.26,EUR,51.26,EUR,79.11,CAD,3DAUTH,73-1458735240-7266-4440571,23/03/2016 12:14
3628474-1458735297-264,DECLINED,100,TRY,31.14,EUR,105.5,TRY,3DAUTH,49591755,23/03/2016 12:14
3628402-1458735236-199,APPROVED,21.73,EUR,21.73,EUR,216.32,NOK,DIRECT,420-1458735235-9571-1763949,23/03/2016 12:13
3628399-1458735234-289,WAITING,420,TRY,420,TRY,420,TRY,3D,155899812,23/03/2016 12:13
3628393-1458735229-82,DECLINED,11.95,GBP,14.31,EUR,11.95,GBP,DIRECT,312131739,23/03/2016 12:13
3628390-1458735227-82,DECLINED,9.95,GBP,11.91,EUR,9.95,GBP,DIRECT,312131729,23/03/2016 12:13
3628384-1458735221-119,APPROVED,25,EUR,25,EUR,248.87,NOK,DIRECT,5-1458735220-4743-622511,23/03/2016 12:13
3628372-1458735204-82,APPROVED,11.95,GBP,14.31,EUR,11.95,GBP,DIRECT,312131689,23/03/2016 12:13
3628366-1458735195-224,APPROVED,54.11,EUR,54.11,EUR,538.65,NOK,DIRECT,12-1458735194-6851-73388,23/03/2016 12:13
3628867-1458735722-289,WAITING,5000,TRY,5000,TRY,5000,TRY,3DAUTH,155899712,23/03/2016 12:22
3628360-1458735181-82,DECLINED,53.95,USD,45.47,EUR,53.95,USD,DIRECT,312131649,23/03/2016 12:13
3628444-1458735274-216,APPROVED,14.02,EUR,14.02,EUR,47.62,TRY,3DAUTH,10-1458735178-4144-971917,23/03/2016 12:14
3628354-1458735176-224,APPROVED,27.36,EUR,27.36,EUR,3638.7,JPY,DIRECT,12-1458735175-9562-3880573,23/03/2016 12:12
3628381-1458735217-216,APPROVED,15.57,EUR,15.57,EUR,52.89,TRY,3DAUTH,10-1458735174-721-4596485,23/03/2016 12:13
3628348-1458735175-82,APPROVED,34.95,USD,29.46,EUR,34.95,USD,DIRECT,312131645,23/03/2016 12:12
3628345-1458735170-260,APPROVED,5,EUR,5,EUR,5,EUR,DIRECT,1212-1458735169-6174-4666842,23/03/2016 12:12
3628375-1458735206-216,APPROVED,15.57,EUR,15.57,EUR,52.89,TRY,3DAUTH,10-1458735164-6359-3842185,23/03/2016 12:13
3628336-1458735164-145,APPROVED,21.18,EUR,21.18,EUR,210.84,NOK,DIRECT,73-1458735164-2773-1026088,23/03/2016 12:12
3628420-1458735251-289,APPROVED,300,TRY,300,TRY,300,TRY,3DAUTH,155899632,23/03/2016 12:14
3628330-1458735159-119,APPROVED,50,EUR,50,EUR,497.73,NOK,DIRECT,5-1458735159-3164-1362657,23/03/2016 12:12
3628342-1458735166-145,DECLINED,51.26,EUR,51.26,EUR,79.11,CAD,3DAUTH,73-1458735158-7809-4440571,23/03/2016 12:12
3628324-1458735159-199,APPROVED,217.28,EUR,217.28,EUR,2162.93,NOK,DIRECT,424-1458735158-5366-1011742,23/03/2016 12:12
3628369-1458735196-216,APPROVED,10.9,EUR,10.9,EUR,37.03,TRY,3DAUTH,10-1458735147-8663-4641415,23/03/2016 12:13
3628315-1458735143-145,APPROVED,42.38,EUR,42.38,EUR,421.88,NOK,DIRECT,73-1458735142-7899-870971,23/03/2016 12:12
3628309-1458735137-289,WAITING,500,TRY,500,TRY,500,TRY,3D,155899572,23/03/2016 12:12
3628306-1458735136-119,APPROVED,25,EUR,25,EUR,248.87,NOK,DIRECT,5-1458735136-0196-414676,23/03/2016 12:12
3628303-1458735136-126,APPROVED,20.5,EUR,20.5,EUR,204.07,NOK,DIRECT,48-1458735135-6988-4531979,23/03/2016 12:12
3628294-1458735132-200,APPROVED,54.8,EUR,54.8,EUR,545.51,NOK,STORED,59-1458735131-7672-177198,23/03/2016 12:12
3628291-1458735130-289,WAITING,5000,TRY,5000,TRY,5000,TRY,3D,155899552,23/03/2016 12:12
3628288-1458735130-126,APPROVED,51.25,EUR,51.25,EUR,510.18,NOK,DIRECT,48-1458735130-4775-4526741,23/03/2016 12:12
3628300-1458735135-145,DECLINED,51.26,EUR,51.26,EUR,79.11,CAD,3DAUTH,73-1458735127-5573-4440571,23/03/2016 12:12
3628276-1458735126-102,WAITING,31,EUR,31,EUR,105.3,TRY,3D,743-1458735125-7273-4499843,23/03/2016 12:12
3628321-1458735149-216,APPROVED,62.3,EUR,62.3,EUR,211.61,TRY,3DAUTH,10-1458735124-7799-4633203,23/03/2016 12:12
3628285-1458735130-145,APPROVED,20.51,EUR,20.51,EUR,31.68,CAD,3DAUTH,73-1458735118-2777-1127195,23/03/2016 12:12
3628297-1458735134-56,APPROVED,27.23,EUR,27.23,EUR,92.49,TRY,3DAUTH,30099064,23/03/2016 12:12
3628273-1458735125-119,APPROVED,25,EUR,25,EUR,25,EUR,3DAUTH,101-1458735106-8379-568317,23/03/2016 12:12
3628255-1458735105-82,DECLINED,0.01,USD,0,EUR,0.01,USD,STORED,312131537,23/03/2016 12:11
3628252-1458735103-82,DECLINED,1.94,GBP,2.32,EUR,1.94,GBP,DIRECT,312131535,23/03/2016 12:11
3628378-1458735213-107,APPROVED,15.49,EUR,15.49,EUR,52.62,TRY,3DAUTH,578-1458735098-0083-694649,23/03/2016 12:13
3628240-1458735094-119,APPROVED,50,EUR,50,EUR,496.95,NOK,DIRECT,5-1458735093-8401-1721661,23/03/2016 12:11
3628387-1458735225-216,APPROVED,10.9,EUR,10.9,EUR,37.03,TRY,3DAUTH,10-1458735093-9402-61497,23/03/2016 12:13
3628234-1458735089-224,APPROVED,13.68,EUR,13.68,EUR,1816.39,JPY,DIRECT,12-1458735088-9884-2946494,23/03/2016 12:11
3628243-1458735097-145,DECLINED,51.26,EUR,51.26,EUR,79.16,CAD,3DAUTH,73-1458735088-3285-4440571,23/03/2016 12:11
3628264-1458735116-264,DECLINED,20,TRY,6.21,EUR,21.1,TRY,3DAUTH,49591093,23/03/2016 12:11
3628225-1458735083-82,APPROVED,31.95,EUR,31.95,EUR,31.95,EUR,DIRECT,312131503,23/03/2016 12:11
3628213-1458735064-224,APPROVED,14.07,EUR,14.07,EUR,139.84,NOK,DIRECT,12-1458735063-7662-3218972,23/03/2016 12:11
3628396-1458735229-289,APPROVED,940,TRY,940,TRY,940,TRY,3DAUTH,155899412,23/03/2016 12:13
3628201-1458735054-289,WAITING,9940,TRY,9940,TRY,9940,TRY,3D,155899382,23/03/2016 12:10
3628219-1458735073-216,APPROVED,15.57,EUR,15.57,EUR,52.89,TRY,3DAUTH,10-1458735050-441-75686,23/03/2016 12:11
3628192-1458735043-216,WAITING,62.3,EUR,62.3,EUR,211.6,TRY,3D,10-1458735043-3419-4618471,23/03/2016 12:10
3628204-1458735054-145,DECLINED,54.67,EUR,54.67,EUR,84.43,CAD,3DAUTH,73-1458735041-3711-4440571,23/03/2016 12:10
3628216-1458735069-216,DECLINED,15.57,EUR,15.57,EUR,52.89,TRY,3DAUTH,10-1458735036-3597-4596485,23/03/2016 12:11
3628249-1458735101-124,APPROVED,21.18,EUR,21.18,EUR,210.51,NOK,3DAUTH,1138-1458735033-2292-4666838,23/03/2016 12:11
3628222-1458735077-145,DECLINED,20.51,EUR,20.51,EUR,31.68,CAD,3DAUTH,73-1458735030-3299-1127195,23/03/2016 12:11
3628168-1458735028-200,APPROVED,54.8,EUR,54.8,EUR,544.65,NOK,STORED,59-1458735028-2141-2559987,23/03/2016 12:10
3628282-1458735128-289,APPROVED,500,TRY,500,TRY,500,TRY,3DAUTH,155899262,23/03/2016 12:12
3628207-1458735057-216,APPROVED,15.57,EUR,15.57,EUR,52.89,TRY,3DAUTH,10-1458735024-9774-4349884,23/03/2016 12:10
3628159-1458735022-199,APPROVED,11.27,EUR,11.27,EUR,112.02,NOK,DIRECT,419-1458735021-705-518412,23/03/2016 12:10
3628183-1458735038-119,APPROVED,25,EUR,25,EUR,25,EUR,3DAUTH,101-1458735021-6847-569393,23/03/2016 12:10
3628312-1458735143-289,APPROVED,600,TRY,600,TRY,600,TRY,3DAUTH,155899212,23/03/2016 12:12
3628150-1458735018-119,APPROVED,25,EUR,25,EUR,25,EUR,DIRECT,93-1458735018-1602-3977854,23/03/2016 12:10
3628198-1458735052-107,APPROVED,61.96,EUR,61.96,EUR,210.45,TRY,3DAUTH,578-1458735015-7024-746963,23/03/2016 12:10
3628174-1458735033-126,APPROVED,11.28,EUR,11.28,EUR,112.12,NOK,3DAUTH,47-1458735009-1627-4570697,23/03/2016 12:10
3628141-1458734997-145,DECLINED,27.34,EUR,27.34,EUR,42.22,CAD,3DAUTH,73-1458734989-121-3957595,23/03/2016 12:09
3628129-1458734983-216,WAITING,62.3,EUR,62.3,EUR,211.6,TRY,3D,10-1458734982-9017-4618471,23/03/2016 12:09
3628126-1458734976-200,APPROVED,273.99,EUR,273.99,EUR,2723.15,NOK,STORED,59-1458734976-2001-522659,23/03/2016 12:09
3628960-1458735833-63,DECLINED,150,TRY,150,TRY,150,TRY,3DAUTH,DP1069374,23/03/2016 12:23
3628114-1458734964-82,APPROVED,11.95,GBP,14.31,EUR,11.95,GBP,DIRECT,312131379,23/03/2016 12:09
3628135-1458734994-56,APPROVED,46.13,EUR,46.13,EUR,156.68,TRY,3DAUTH,30099030,23/03/2016 12:09
3628189-1458735043-216,APPROVED,15.57,EUR,15.57,EUR,52.82,TRY,3DAUTH,10-1458734941-2166-4666834,23/03/2016 12:10
3628096-1458734931-203,WAITING,31,EUR,31,EUR,105.15,TRY,3D,1477-1458734931-0834-4666830,23/03/2016 12:08
3628102-1458734939-216,APPROVED,11.53,EUR,11.53,EUR,39.11,TRY,3DAUTH,10-1458734919-8822-2945096,23/03/2016 12:08
3628117-1458734969-119,APPROVED,200,EUR,200,EUR,200,EUR,3DAUTH,91-1458734914-7601-4608042,23/03/2016 12:09
3628081-1458734906-224,APPROVED,64.94,EUR,64.94,EUR,647.21,NOK,DIRECT,12-1458734905-5872-3931903,23/03/2016 12:08
3628078-1458734905-199,DECLINED,529.96,EUR,529.96,EUR,5281.73,NOK,DIRECT,424-1458734903-0771-4666794,23/03/2016 12:08
3628108-1458734945-119,APPROVED,50,EUR,50,EUR,50,EUR,3DAUTH,101-1458734904-2594-569393,23/03/2016 12:09
3628072-1458734902-224,APPROVED,64.94,EUR,64.94,EUR,647.21,NOK,DIRECT,12-1458734901-668-73388,23/03/2016 12:08
3628069-1458734899-224,APPROVED,18.23,EUR,18.23,EUR,2424.47,JPY,DIRECT,12-1458734899-1725-3880573,23/03/2016 12:08
3628060-1458734890-199,APPROVED,97.78,EUR,97.78,EUR,974.51,NOK,DIRECT,419-1458734889-6449-2580741,23/03/2016 12:08
3628057-1458734887-187,APPROVED,238.02,EUR,238.02,EUR,2372.18,NOK,DIRECT,346-1458734887-1456-4462600,23/03/2016 12:08
3628099-1458734936-237,DECLINED,1,EUR,1,EUR,1,EUR,3DAUTH,1691-1458734886-9816-4666826,23/03/2016 12:08
3628090-1458734923-126,APPROVED,43.05,EUR,43.05,EUR,429.05,NOK,3DAUTH,47-1458734885-3241-4558148,23/03/2016 12:08
3628048-1458734881-119,APPROVED,50,EUR,50,EUR,498.32,NOK,DIRECT,5-1458734880-6402-220941,23/03/2016 12:08
3628138-1458734994-289,WAITING,950,TRY,950,TRY,950,TRY,3DAUTH,155898802,23/03/2016 12:09
3628042-1458734875-119,DECLINED,100,EUR,100,EUR,996.63,NOK,DIRECT,5-1458734874-711-691181,23/03/2016 12:07
3628039-1458734874-171,APPROVED,20,EUR,20,EUR,199.33,NOK,DIRECT,34-1458734874-3134-730958,23/03/2016 12:07
3628033-1458734868-200,APPROVED,6,EUR,6,EUR,59.8,NOK,STORED,239-1458734868-2369-548108,23/03/2016 12:07
3628063-1458734896-203,DECLINED,62,EUR,62,EUR,210.3,TRY,3DAUTH,1477-1458734865-9943-4666822,23/03/2016 12:08
3628066-1458734897-216,APPROVED,31.15,EUR,31.15,EUR,105.66,TRY,3DAUTH,10-1458734863-4263-23417,23/03/2016 12:08
3628024-1458734859-289,WAITING,300,TRY,300,TRY,300,TRY,3D,155898752,23/03/2016 12:07
3628021-1458734859-82,DECLINED,1.94,GBP,2.32,EUR,1.94,GBP,DIRECT,312131277,23/03/2016 12:07
3628903-1458735749-289,APPROVED,500,TRY,500,TRY,500,TRY,3DAUTH,155898722,23/03/2016 12:22
3628012-1458734854-238,APPROVED,1.37,EUR,1.37,EUR,2.12,CAD,DIRECT,1191-1458734854-098-4666818,23/03/2016 12:07
3628000-1458734845-261,APPROVED,42.79,EUR,42.79,EUR,426.46,NOK,DIRECT,32-1458734845-054-4220026,23/03/2016 12:07
3628009-1458734853-289,WAITING,950,TRY,950,TRY,950,TRY,3DAUTH,155898642,23/03/2016 12:07
3628036-1458734871-216,APPROVED,10.9,EUR,10.9,EUR,36.98,TRY,3DAUTH,10-1458734824-327-879833,23/03/2016 12:07
3628018-1458734857-107,DECLINED,15.49,EUR,15.49,EUR,52.55,TRY,3DAUTH,578-1458734819-8744-694649,23/03/2016 12:07
3627976-1458734819-98,APPROVED,49,EUR,49,EUR,49,EUR,REFUND,1399-1458734818-4847-4555313,23/03/2016 12:06
3628003-1458734850-216,APPROVED,155.74,EUR,155.74,EUR,528.26,TRY,3DAUTH,10-1458734818-8171-3885406,23/03/2016 12:07
3627994-1458734835-56,DECLINED,8,EUR,8,EUR,27.14,TRY,3DAUTH,30098999,23/03/2016 12:07
3627967-1458734810-119,APPROVED,50,EUR,50,EUR,498.32,NOK,DIRECT,5-1458734809-7971-633038,23/03/2016 12:06
3628093-1458734928-237,APPROVED,1,EUR,1,EUR,1,EUR,3DAUTH,1691-1458734809-4276-4666814,23/03/2016 12:08
3627961-1458734807-82,DECLINED,1.94,GBP,2.32,EUR,1.94,GBP,DIRECT,312131235,23/03/2016 12:06
3628006-1458734852-216,DECLINED,10.9,EUR,10.9,EUR,36.98,TRY,3DAUTH,10-1458734806-138-4647795,23/03/2016 12:07
3627955-1458734803-82,DECLINED,11.95,GBP,14.3,EUR,11.95,GBP,DIRECT,312131229,23/03/2016 12:06
3627991-1458734832-216,DECLINED,10.9,EUR,10.9,EUR,36.98,TRY,3DAUTH,10-1458734801-6372-2600301,23/03/2016 12:07
3627943-1458734791-119,APPROVED,25,EUR,25,EUR,25,EUR,DIRECT,93-1458734790-5043-4666810,23/03/2016 12:06
3627940-1458734789-107,WAITING,61.96,EUR,61.96,EUR,210.17,TRY,3D,578-1458734788-7861-746963,23/03/2016 12:06
3627949-1458734800-119,APPROVED,25,EUR,25,EUR,25,EUR,3DAUTH,101-1458734783-6048-568317,23/03/2016 12:06
3627928-1458734779-260,APPROVED,5,EUR,5,EUR,48.69,SEK,DIRECT,1212-1458734779-3739-4666806,23/03/2016 12:06
3627988-1458734827-203,APPROVED,31,EUR,31,EUR,105.15,TRY,3DAUTH,1477-1458734775-717-4666802,23/03/2016 12:07
3627922-1458734775-82,DECLINED,11.95,GBP,14.3,EUR,11.95,GBP,DIRECT,312131199,23/03/2016 12:06
3627916-1458734773-224,APPROVED,72.95,EUR,72.95,EUR,9701.87,JPY,DIRECT,12-1458734772-5764-2473467,23/03/2016 12:06
3627901-1458734762-145,APPROVED,10.25,EUR,10.25,EUR,15.82,CAD,DIRECT,73-1458734761-4885-4346353,23/03/2016 12:06
3627898-1458734761-199,DECLINED,97.78,EUR,97.78,EUR,974.51,NOK,DIRECT,419-1458734760-5984-2580741,23/03/2016 12:06
3627934-1458734783-56,APPROVED,27.23,EUR,27.23,EUR,92.49,TRY,3DAUTH,30098990,23/03/2016 12:06
3627892-1458734760-224,APPROVED,13.68,EUR,13.68,EUR,1819.93,JPY,DIRECT,12-1458734760-2418-2946494,23/03/2016 12:06
3627946-1458734792-216,APPROVED,14.02,EUR,14.02,EUR,47.62,TRY,3DAUTH,10-1458734759-0666-618290,23/03/2016 12:06
3627883-1458734753-224,APPROVED,32.47,EUR,32.47,EUR,323.61,NOK,DIRECT,12-1458734753-247-3218972,23/03/2016 12:05
3627880-1458734752-199,APPROVED,21.73,EUR,21.73,EUR,216.57,NOK,DIRECT,420-1458734752-2859-1763949,23/03/2016 12:05
3627904-1458734764-132,APPROVED,80,EUR,80,EUR,778.98,SEK,3DAUTH,1197-1458734751-5093-3887215,23/03/2016 12:06
